titlu,Latitude nordica,Longitudine estica,program,taxa,Accesibil pentru persoane cu dizabilit??i ,Curatenie,tip,
Gr?dina Zoologic? 2,44° 31? 06?,26° 06? 19?,Non-stop,NU,NU,5,Automat?,
Gr?dina Zoologic? 3,44° 31? 6.43?,26° 6? 19.10?,Non-stop,NU,NU,5,Automat?,
Gr?dina Zoologic? 4,44° 31? 0.86?,26° 06? 10.62?,Non-stop,NU,NU,5,Automat?,
Parc Regele Mihai | (Her?str?u),"44°28'02.6""","26°05'10.3""",Non-stop,NU,NU,4,Automat?,
Parc Regele Mihai | (Her?str?u),"44°28'00.1""","26°05'06.3""",Non-stop,NU,NU,1,Ecologic?,
Parc Patinoar Floreasca,"44,46560° N","26,09859° E",Non-stop,NU,DA,2,Ecologic?,
Parc Ci?migiu,44°26'13.01,"26°05'26.64""",Non-stop,NU,DA,1,Ecologic?,
Parc Bordei,"44,46560° N","26,09113° E",Non-stop,NU,DA,2,Ecologic?,
Aut. Na?ional? pentru Persoane cu Dizabilit??i (Cal. Victoriei nr.194),"44°27'05""","26°05'12""",Non-Stop,NU,DA,4,Automat?,
Bd. Constantin Prezan / ?os. Kiseleff,"44° 28' 04.2""","26° 04' 41.7""",Non-stop,NU,NU,2,Automat?,
Bd. Aviatorilor / P-?a Victoriei,"44° 27' 14.0""","26° 05' 10.4""",Non-stop,NU,NU,2,Automat?,
Calea Floreasca ( Parc Automatica),44°27?47?,26°6?4?,Non-stop,NU,DA,4,Automat?,
Pia?a Victoriei ( Muzeul Antipa),"44°27'08.9""","26°05'04.1""",Non-stop,NU,DA,5,Automat?,
Pia?a Charles de Gaulle ( Calea Doroban?ilor ),"44°27'56.1""","26°05'13.3""",Non-stop,NU,DA,5,Automat?,
Parc Venus / Pod Eroilor,"44° 26' 09.9""","26° 04' 31.9""",Non-stop,NU,NU,3,Automat?,
Str. Ion Câmpineanu ( Sala Palatului),"44°26'17.6""","26°05'41.0""",Non-stop,NU,NU,4,Automat?,
Calea Grivi?ei / Bd. Ion Mihalache,Nu exist?,,,,,,,
Pia?a Montreal ( Cap Tramvai 41),"44°28'32.0""","26°04'20.0""",Non-stop,NU,NU,5,Automat?,
Parc Pajura ( Pia?a Pajura),44° 28? 57.51?,26° 02? 49.26?,Non-stop,NU,NU,5,Automat?,
Parc B?neasa,44° 29? 18?,26°5?5?,Non-stop,NU,NU,2,Clasic?,
Parc Bazilescu (Teatrul de vara),"44°29'19.3""N","26°01'59.7""E",Non-stop,NU,NU,3,Automat?,
Parc Bazilescu,44° 29? 15.30?,26° 02? 12.85?,Non-stop,NU,NU,4,Automat?,
Parc Kiseleff,"44.45'82.7""","26.08'30.3""",Non-stop,NU,DA,5,Clasic?,
Parc Alexandru Ioan Cuza,"44° 25' 27.5""","26° 09' 02.7""",Non-stop,NU,NU,5,Automat?,
Parc Regina Maria,"44°45'77.39""","26°06'56.94""",Non-stop,NU,NU,4,Automat?,
Parc Operei,"44°26'09.6""","26°04'31.9""",Non-stop,NU,NU,4,Automat?,
Gradina Cismigiu,"44°26'34.4""","26°05'47.0""",08:00-00:30,NU,NU,3,Automat?,
Bulevardul Mircea Eliade,"44°27'56.8""","26°05'54.4""",Non-stop,NU,NU,4,Automat?,
Parc Dridu,"44°29'04.7""","26°03'23.2""",Non-stop,NU,NU,3,Automat?,
Parc Kiseleff,44° 27?29.66?,26° 04? 52.09?,Non-stop,NU,NU,4,Automat?,
"Parc Regele Mihai I (Herastrau) , zona intrare Sos. Nordului 7-10","44,47950° N","26,08576° E",Non-stop,NU,DA,4,Automat?,
"Parc Regele Mihai I (Her?str?u) , intrare Pavilion H",44° 28?17?,26°4?53?,Non-stop,NU,DA,3,Ecologic?,
"Parc Regele Mihai I (Her?str?u) , zona Roata Mare",44° 28?55?,26°4?59?,Non-stop,NU,NU,2,Ecologic?,
"Parc Regele Mihai I (Her?str?u) , zona intrare Bd. Aviatorilor (Beijin)",44° 28?17?,26°5?13?,Non-stop,NU,NU,5,Ecologic?,
"Parc Regele Mihai I (Her?str?u) , zona intrare Pia?a Ch. de Gaulle",44°28?3?,26°5?10?,Non-stop,NU,NU,3,Automat?,
Gr?dina Ci?migiu,"44°26'07.9""","26°05'27.4""",Non-stop,NU,NU,2,Automat?,
Parc Kretzulescu,"44°26'18.0""","26°05'43.9""",Non-stop,NU,DA,1,Ecologic?,
Parc Sala Palatului,44°26?22.02?,"26°05'37.82""",Non-stop,NU,NU,3,Automat?,
Bd. Magheru,44°44?27.32?,26°09?85.56?,Non-stop,NU,NU,4,Automat?,
Gr?dina Zoologic? (pt. persoane cu dizabilit??i fizice),44°30’53.6”N,26°08’42.0”E,09:00 - 19:00,NU,NU,5,Clasic?,
Parc Regele Mihai | (Her?str?u),"44° 28' 11.4""","26° 04' 54.9""",Non-stop,NU,DA,4,Ecologic?,
Parc Patinoar Floreasca,"44°27'56.6""","26°05'54.7""",Non-stop,NU,DA,3,Ecologic?,
Parc Ci?migiu,"44°26'21.5""","26°05'21.1""",Non-stop,NU,NU,2,Automat?,
Parc Bordei,44.47.51.6,26.09.17.3,07:00-22:00,NU,NU,3,Ecologic?,
Aut. Na?ional? pentru Persoane cu Dizabilit??i (Cal. Victoriei nr.194),"44°26'33.57""","26°05'28.04""",6:00-22:00,NU,DA,4,Clasic?,
Parc Regele Mihai I (Her?str?u),44.467.371,26.086.212,Non-stop,NU,NU,5,Clasic?,
Parc Bordei,44.474.519,26.091.392,,NU,NU,5,Clasic?,
Intrarea Parc Bordei (Gondol?),444.745.168,260.915.392,non-stop,NU,NU,3,Ecologic?,
Parc Ci?migiu,"44°26'18.8""","26°05'26.5""",Non-stop,NU,NU,2,Automat?,
Parc Floreasca,"44° 27' 56.3""","26° 05' 54.9""",Non-stop,NU,DA,2,Ecologic?,
Biserica Sfin?ii Voievozi (Calea Grivi?ei nr.58),"44°26'44.1""","26°05'02.4""",10:00-16:00,NU,NU,3,Automat?,
Biserica Italian? (Bd. N. B?lcescu nr.28),"44°43'96.46""","26°10'05.52""",(programul bisericii),NU,NU,4,Clasic?,
Baraj Str?ule?ti,44° 30? 12.17?,26° 01? 23.07?,05:00-23:00,NU,DA,2,Clasic?,
Baraj Grivita,nu exista,,,NU,NU,5,Clasic?,
Baraj B?neasa,"44°29'45.2""N","26°04'09.1""E",acces interzis,NU,NU,5,Clasic?,
Baraj Her?str?u,44.47.38.8,26.08.93.2,Acces interzis,NU,NU,,Ecologic?,
Pasajul Pietonal Basarab,"44°27'00.42""",26°04'07.35,05:00-23:00,NU,NU,2,Clasic?,
Parc Circului,"44°27'25.5""","26°06'32.6""",Non-stop,NU,NU,3,Ecologic?,
Parc Pantelimon,"44°26'13.7""","26°19'9.86""",Non-stop,NU,NU,1,Ecologic?,
Arena Na?ional?,"44°26'02.3""","26°09'11.2""",Non-stop,NU,NU,2,Ecologic?,
Biserica Popa Soare (str. D. Burghelea nr.7),"44°26'09.5""","26°07'06.5""",10:00-18:00,NU,NU,3,Ecologic?,
?coala Gimnazial? „Ferdinand l” (Bd. G?rii Obor nr.16),44°44’29”,26°14’92”,5:00-24:00,NU,NU,3,Automat?,
?coala Gimnazial? de arte (Bd. Ferdinand I nr.128),,,,NU,NU,5,Clasic?,
?coala Gimnazial? nr.24 (Str. Tunari nr. 52-54),"44.45'144""","26.10'60.2""",,NU,NU,2,Ecologic?,
Liceul Tehnologic Sf. Pantelimon (Str. Hambarului nr.12),44° 26? 26?,26° 09? 10?,Non-stop,NU,DA,3,Ecologic?,
Scoala Gimnazial? nr.27 (Str. Ma?ina de Pâine nr.65),44° 26? 56.0?,26° 07? 36.8?,Non-stop,NU,NU,1,Ecologic?,
